鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮光華里華安街1~30號,25.23,住,,,1070611,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830625,160.75,4,2,2,有,有,3000000,18663,坡道平面,0.0,0,,RPRNMLQKPHNFFCT57CA
內埔鄉,土地,建興段721~750地號,2908.96,,一般農業區,農牧用地,1070516,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7347900,2526,,0.0,0,,RPSOMLOJPHNFFCT47CA
萬巒鄉,房地(土地+建物),屏東縣萬巒鄉平和路19巷31~60號,86.46,住,,,1070613,土地2建物1車位0,全,三層,透天厝,住宅,鋼筋混凝土造,0820308,143.73,4,2,3,有,無,2980000,20733,,0.0,0,,RPPNMLPJPHNFFCT17CA
內埔鄉,土地,新埔段3271~3300地號,2199.0,,特定農業區,農牧用地,1070420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,1819,,0.0,0,祭祀公業土地買賣，派下員承買，,RPTNMLQJPHNFFCT67CA
潮州鎮,土地,崙新段421~450地號,355.73,,一般農業區,農牧用地,1070627,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,485000,1363,,0.0,0,,RPVNMLQJPHNFFCT87CA
萬巒鄉,土地,頭溝水段601~630地號,4248.71,,一般農業區,農牧用地,1070613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9500000,2236,,0.0,0,,RPSNMLOJPHNFFCT37CA
里港鄉,土地,土庫段1141~1170地號,1650.0,,一般農業區,農牧用地,1070510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1815000,1100,,0.0,0,,RPUNMLOJPHNFFBT47CA
萬丹鄉,土地,萬興段1231~1260地號,1272.0,,鄉村區,乙種建築用地,1070514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17310000,13608,,0.0,0,,RPSOMLRLPHNFFAT77CA
屏東巿,房地(土地+建物),屏東縣屏東市林森路2巷15弄1~30號,86.0,住,,,1070525,土地1建物1車位0,全,二層,透天厝,住家用,磚造,0631023,78.92,4,2,2,有,無,3530000,44729,,0.0,0,,RPPOMLTJPHNFFAT47CA
屏東巿,房地(土地+建物)+車位,屏東縣屏東市大武路301~330號,17.56,住,,,1070415,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831006,119.47,3,2,2,有,有,2550000,21344,坡道機械,0.0,0,賣方已相當減價出售予買方，買方同意，賣方對本買賣標的物無須負擔瑕疵擔保責任。,RPSNMLNKPHNFFAT17CA
