編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLPKPHNFFCC38CA,21,27.76,共用部份,鋼筋混凝土造,85年12月9日,七層,
RPTNMLOKPHNFFCC48CA,21,83.15,住家用,鋼筋混凝土造,86年11月17日,九層,四層
RPTNMLOKPHNFFCC48CA,21,14.67,共用部份,鋼筋混凝土造,86年11月17日,九層,
RPTNMLOKPHNFFCC48CA,21,8.63,共用部份,鋼筋混凝土造,86年11月17日,九層,
RPRNMLQKPHNFFCC48CA,19,82.78,住家用,鋼筋混凝土造,88年1月14日,十三層,十二層
RPRNMLQKPHNFFCC48CA,19,18.12,共用部份,鋼筋混凝土造,88年1月14日,十三層,
RPRNMLQKPHNFFCC48CA,19,14.41,共用部份,鋼筋混凝土造,88年1月14日,十三層,
RPPOMLKLPHNFFCC08EA,23,12.11,共用部份,鋼筋混凝土造,84年8月1日,十二層,
RPPOMLKLPHNFFCC08EA,23,74.85,住家用,鋼筋混凝土造,84年8月1日,十二層,十一層
RPPOMLKLPHNFFCC08EA,23,3.75,共用部份,鋼筋混凝土造,84年8月1日,十二層,
RPPOMLKLPHNFFCC08EA,23,38.46,見其他登記事項,鋼筋混凝土造,84年8月1日,十二層,
RPUNMLNLPHNFFCC58CA,2,173.13,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,十八層
RPUNMLNLPHNFFCC58CA,2,.03,見其他登記事項,鋼筋混凝土造,105年1月24日,,
RPUNMLNLPHNFFCC58CA,2,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPUNMLNLPHNFFCC58CA,2,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPUNMLNLPHNFFCC58CA,2,1.67,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPUNMLNLPHNFFCC58CA,2,102.47,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPUNMLNJQHNFFBC58EA,19,57.41,住家用,鋼筋混凝土造,88年1月14日,十六層,十六層
RPUNMLNJQHNFFBC58EA,19,10.05,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPUNMLNJQHNFFBC58EA,19,4.42,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPUNMLNJQHNFFBC58EA,19,45.95,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPUNMLNJQHNFFBC58EA,19,1.46,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPUNMLNJQHNFFBC58EA,19,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPNMLLJQHNFFCC77CA,1,82.03,見其他登記事項,鋼筋混凝土造,106年4月19日,十三層,十二層
RPPNMLLJQHNFFCC77CA,1,65.25,見其他登記事項,鋼筋混凝土造,106年4月19日,十三層,
RPRNMLRLPHNFFCC68CA,23,63.90,住家用,鋼筋混凝土造,84年9月15日,六層,四層
RPRNMLRLPHNFFCC68CA,23,38.21,共用部份,鋼筋混凝土造,84年9月15日,六層,
RPRNMLQLPHNFFCC78EA,37,62.90,住家用,鋼筋混凝土造,70年10月7日,五層,三層
RPPNMLMKPHNFFBC87DA,27,127.45,見其他登記事項,鋼筋混凝土造,80年7月30日,七層,地下二層
RPPNMLMKPHNFFBC87DA,27,5.63,共用部份,鋼筋混凝土造,80年7月30日,七層,
RPSOMLPJPHNFFCC48CA,37,96.47,住家用,鋼筋混凝土造,69年12月24日,五層,五層
RPVOMLTJPHNFFBC09CA,49,74.28,住家用,加強磚造,58年7月21日,四層,一層
RPRNMLTJPHNFFCC68CA,2,76.21,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,十六層
RPRNMLTJPHNFFCC68CA,2,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,
RPRNMLTJPHNFFCC68CA,2,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPRNMLTJPHNFFCC68CA,2,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPRNMLTJPHNFFCC68CA,2,.73,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPRNMLTJPHNFFCC68CA,2,47.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPQNMLLMPHNFFBC97CA,19,83.67,住家用,鋼筋混凝土造,88年1月22日,五層,一層
RPQNMLLMPHNFFBC97CA,19,7.91,共用部份,鋼筋混凝土造,88年1月22日,五層,
RPQNMLLMPHNFFBC97CA,19,5.76,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPQNMLLMPHNFFBC97CA,19,1.86,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPQNMLLMPHNFFBC97CA,19,2.29,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPUNMLQJPHNFFBC58CA,26,177.70,商業用,鋼筋混凝土造,81年10月6日,五層,一層 騎樓
RPUNMLQJPHNFFBC58CA,26,12.51,共用部份,鋼筋混凝土造,81年10月6日,五層,
RPUNMLQJPHNFFBC58CA,26,83.77,見其他登記事項,鋼筋混凝土造,81年10月6日,五層,地下層
RPUNMLQJPHNFFBC58CA,26,24.93,共用部份,鋼筋混凝土造,81年10月6日,五層,
RPSNMLOKPHNFFBC28CA,32,128.36,住家用,鋼筋混凝土造,74年12月28日,五層,三層
RPSOMLTKPHNFFBC88CA,26,81.84,住家用,鋼筋混凝土造,81年12月3日,四層,四層
RPRNMLKKPHNFFBC77CA,29,103.64,住家用,鋼筋混凝土造,78年11月22日,七層,三層
RPRNMLKKPHNFFBC77CA,29,14.55,共用部份,鋼筋混凝土造,78年11月22日,七層,
RPQNMLLKPHNFFBC77CA,32,91.07,見其他登記事項,鋼筋混凝土造,75年10月13日,五層,四層
RPUNMLRKPHNFFBC78CA,43,44.53,住家用,鋼筋混凝土加強磚造,64年2月7日,四層,三層
RPWNMLRKPHNFFBC98CA,33,57.72,住家用,鋼筋混凝土造,74年11月23日,四層,四層
RPPNMLKKPHNFFBC57CA,19,111.54,住家用,鋼筋混凝土造,88年1月20日,七層,五層
RPPNMLKKPHNFFBC57CA,19,29.48,共用部份,鋼筋混凝土造,88年1月20日,七層,
RPSNMLMKPHNFFBC08CA,45,270.52,住商用,鋼筋混凝土加強磚造,62年4月2日,四層,一層 二層 三層 四層 防空避難室 騎樓
RPTNMLLKPHNFFBC08CA,19,79.98,住家用,鋼筋混凝土造,88年1月22日,七層,五層
RPTNMLLKPHNFFBC08CA,19,14.61,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPTNMLLKPHNFFBC08CA,19,5.32,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPTNMLLKPHNFFBC08CA,19,34.92,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPQNMLPKPHNFFBC18CA,23,94.81,住家用,鋼筋混凝土造,84年11月16日,五層,五層
RPTNMLLKPHNFFBC08CA,19,2.11,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPQNMLPKPHNFFBC18CA,23,12.58,共用部份,鋼筋混凝土造,84年11月16日,五層,
RPXNMLMKPHNFFBC58CA,1,81.81,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,十層
RPXNMLMKPHNFFBC58CA,1,65.58,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,
RPWOMLTJPHNFFBC56CA,25,163.01,住家用,鋼筋混凝土造,82年3月25日,四層,二層
RPWOMLTJPHNFFBC56CA,25,2.44,共用部份,鋼筋混凝土造,82年3月25日,四層,
RPSNMLKKPHNFFBC87CA,9,40.72,住家用,鋼筋混凝土造,98年2月9日,六層,三層
