鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
造橋鄉,房地(土地+建物),苗栗縣造橋鄉談文村5鄰育英三街1~30號,16.9,,山坡地保育區,丙種建築用地,1070623,土地1建物1車位0,二層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920716,27.560000000000002,1,1,1,有,有,350000,12700,,0.0,0,,RPQNMLPJPHNFFDK09CA
造橋鄉,房地(土地+建物),苗栗縣造橋鄉談文村5鄰育英三街1~30號,16.64,,山坡地保育區,丙種建築用地,1070623,土地1建物1車位0,二層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920716,27.090000000000003,1,1,1,有,有,350000,12920,,0.0,0,,RPRNMLPJPHNFFDK56CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮竹興里22鄰復興路548巷31~60號,79.35,,一般農業區,甲種建築用地,1070530,土地5建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0830620,187.82,3,2,3,有,無,6800000,36205,,0.0,0,,RPUNMLOJPHNFFDK76CA
後龍鎮,房地(土地+建物),苗栗縣後龍鎮東明里10鄰中華路631~660號,1488.0,農,,,1070531,土地1建物1車位0,全,三層,透天厝,農舍,鋼筋混凝土造,1030403,381.95,5,2,3,有,無,16800000,43985,,0.0,0,,RPSNMLNJPHNFFDK09CA
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮山腳里13鄰山腳331~360號,114.33,,鄉村區,乙種建築用地,1060102,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070320,165.64,5,1,3,有,有,6680000,40328,,0.0,0,,RPPNMLSKPHNFFCK66CA
通霄鎮,土地,土城段451~480地號,2306.0,,特定農業區,農牧用地,1070512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2744852,1190,,0.0,0,,RPSNMLTKPHNFFCK07CA
苑裡鎮,土地,文山段91~120地號,131.25,住,,,1070614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4764000,36297,,0.0,0,,RPRNMLPJPHNFFCK09CA
苑裡鎮,土地,苑西段451~480地號,96.37,商,,,1070608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3206711,33275,,0.0,0,,RPTNMLKKPHNFFCK88CA
苗栗市,房地(土地+建物),苗栗縣苗栗市恭敬里10鄰中正路1141~1170號,7.24,住,,,1070608,土地2建物1車位0,六層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0840601,63.81,1,1,1,有,無,2000000,31343,,0.0,0,,RPRNMLQLPHNFFBK66CA
頭屋鄉,土地,象山段61~90地號,410.0,,山坡地保育區,農牧用地,1070519,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1116000,2722,,0.0,0,,RPPNMLKLPHNFFBK48CA
苗栗市,房地(土地+建物),苗栗縣苗栗市建功里23鄰忠孝路1~30號,45.12,住,,,1070605,土地1建物1車位0,四層,,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730430,147.6,3,3,3,有,無,3500000,23713,,0.0,0,,RPRNMLOJPHNFFBK88CA
苗栗市,房地(土地+建物),苗栗縣苗栗市建功里23鄰忠孝路1~30號,45.12,住,,,1070605,土地1建物1車位0,五層,,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730430,147.6,3,2,2,有,無,3500000,23713,,0.0,0,,RPSNMLOJPHNFFBK98CA
苗栗市,房地(土地+建物),苗栗縣苗栗市高苗里22鄰松園1~30號,509.73,,山坡地保育區,農牧用地,1061210,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1061006,199.06,5,2,4,有,無,11300000,56767,,0.0,0,,RPQNMLKKPHNFFBK48CA
苗栗市,土地,苗栗段1081~1110地號,59.3,住,,,1070614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2188170,36900,,0.0,0,二親等之間的交易,RPWOMLNJPHNFFBK76CA
卓蘭鎮,土地,大坪林段2191~2220地號,2140.0,,山坡地保育區,農牧用地,1070510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,2336,,0.0,0,,RPPNMLOJPHNFFAK58CA
泰安鄉,土地,士林段961~990地號,1932.0,,山坡地保育區,農牧用地,1070604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,259,,0.0,0,,RPPNMLOKPHNFFAK68CA
公館鄉,土地,關爺埔段331~360地號,301.96,,特定農業區,甲種建築用地,1070622,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3650000,12088,,0.0,0,,RPRNMLPJPHNFFBK98CA
苗栗市,房地(土地+建物),苗栗縣苗栗市新英里9鄰賞翠1~30號,175.0,,山坡地保育區,丙種建築用地,1070530,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0940204,191.65,3,2,4,有,有,6650000,34699,,0.0,0,,RPSNMLPJPHNFFBK09CA
苗栗市,土地,福安段751~780地號,64.38,住,,,1070518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2607390,40500,,0.0,0,,RPTNMLPJPHNFFBK56CA
苗栗市,土地,福全段1801~1830地號,57.86,工,,,1070531,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3150000,54442,,0.0,0,含未登記建物持分1/2,RPPNMLQJPHNFFBK88CA
苗栗市,房地(土地+建物),苗栗縣苗栗市信義街19巷1~30號,23.34,住,,,1070609,土地5建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701215,85.37,2,1,1,有,無,1180000,13822,,0.0,0,,RPOOMLTJPHNFFBK56CA
苗栗市,土地,巨蛋段601~630地號,2.76,住,,,1070615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,168388,61010,,0.0,0,,RPTNMLOKPHNFFBK56CA
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮房裡里6鄰南房61~90號,133.6,住,,,1070601,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0720120,122.22,4,2,2,有,無,1820100,14892,,0.0,0,,RPQNMLOKPHNFFCK98CA
苑裡鎮,土地,南勢林段1~30地號,9513.6,,山坡地保育區,農牧用地,1070530,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6200000,652,,0.0,0,,RPQNMLTJPHNFFCK76CA
通霄鎮,房地(土地+建物),苗栗縣通霄鎮褔源里10鄰北勢窩路112巷6弄1~30號,111.0,,山坡地保育區,丙種建築用地,1070526,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0841024,127.81,5,2,4,有,無,2300000,17995,,0.0,0,,RPRNMLPLPHNFFCK66CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮山佳里21鄰佳北二街97巷1~30號,21.64,住,,,1070520,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821117,119.22,2,2,2,有,有,2600000,21808,,0.0,0,,RPVNMLOJPHNFFDK86CA
竹南鎮,土地,大埔段頂大埔小段61~90地號,235.0,農,,,1070623,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1846000,7855,,0.0,0,,RPUNMLKKPHNFFDK09CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮港墘里17鄰仁德路259巷38弄1~30號,121.5,住,,,1070501,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1051228,247.68,4,2,4,有,有,13200000,53295,,0.0,0,,RPVNMLPJPHNFFDK96CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮港墘里17鄰仁德路259巷38弄31~60號,116.02,住,,,1070514,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1051228,233.42,4,2,4,有,有,12800000,54837,,0.0,0,,RPXNMLPJPHNFFDK17CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮港墘里17鄰仁德路259巷38弄31~60號,116.02,住,,,1070323,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1051228,233.42,4,2,4,有,有,12800000,54837,,0.0,0,,RPOOMLPJPHNFFDK98CA
後龍鎮,房地(土地+建物),苗栗縣後龍鎮校椅里12鄰?榔一街181~210號,268.78,住,,,1070621,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,1030102,190.28,4,2,2,有,無,9600000,50452,,0.0,0,,RPPNMLQJPHNFFDK09CA
後龍鎮,土地,苦苓腳段1~30地號,844.25,,山坡地保育區,農牧用地,1070611,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1275000,1510,,0.0,0,多人持分之土地.只買持分.有特定需求.土增稅由賣方負擔,RPVNMLQKPHNFFDK17CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮營盤里22鄰萬福街1~30號,34.05,住,,,1070322,土地1建物1車位1,,,華廈(10層含以下有電梯),,,,154.39,3,2,2,有,無,6500000,41292,坡道平面,16.35,800000,建物買賣價格含一樓共有約定專用一個位置。,RPSNMLKMPHNFFDK09CA
三義鄉,房地(土地+建物),苗栗縣三義鄉雙湖61~90號,132.74,住,,,1070612,土地2建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土造,0811214,66.93,4,1,2,有,無,4800000,71717,,0.0,0,,RPPNMLTJPHNFFEK86CA
銅鑼鄉,土地,褔興段151~180地號,30.85,住,,,1070523,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,755517,24490,,0.0,0,,RPRNMLKKPHNFFEK88CA
南庄鄉,土地,北獅里興段北獅里興小段1~30地號,85.0,,鄉村區,乙種建築用地,1070620,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1307725,15385,,0.0,0,,RPQPMLPJPHNFFFK86CA
