鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
南區,房地(土地+建物),臺中市南區平順街121~150號,9.1,商,,,1070601,土地14建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830906,70.58,2,0,2,有,有,3000000,42505,,0.0,0,,RPWOMLLKPHNFFAB28CA
南區,房地(土地+建物)+車位,臺中市南區復興北路801巷61~90號,25.52,住,,,1070601,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070223,135.59,3,1,2,有,有,9360000,71890,坡道平面,24.17,1350000,,RPUPMLKKPHNFFAB08CA
南區,房地(土地+建物),臺中市南區學府路146巷1~30號,3.43,住,,,1070601,土地1建物1車位0,七層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850627,36.81,1,1,1,有,有,1700000,46183,,0.0,0,,RPPQMLTJPHNFFAB48CA
南區,房地(土地+建物)+車位,臺中市南區復興北路801巷61~90號,22.18,住,,,1061001,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070223,118.37,2,1,1,有,有,7250000,63694,坡道平面,24.17,1250000,,RPTOMLKKPHNFFAB87CA
西區,房地(土地+建物),臺中市西區英士路61~90號,6.9,住,,,1070501,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821007,45.260000000000005,1,1,1,有,有,2050000,45294,,0.0,0,,RPVPMLRKPHNFFAB88CA
西區,土地,後子段211~240地號,55.67,住,,,1070601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15156000,272247,,0.0,0,,RPPRMLSKPHNFFAB58CA
南區,房地(土地+建物)+車位,臺中市南區文心南路871~900號,17.48,住,,,1070501,土地1建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000127,166.64,3,2,2,有,有,11000000,66011,坡道機械,18.02,0,,RPWRMLSKPHNFFAB66CA
南區,土地,萬安段五小段1~30地號,26.0,其他,,,1070601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,30769,,0.0,0,,RPUPMLNLPHNFFAB48CA
西區,房地(土地+建物)+車位,臺中市西區五權三街31~60號,20.29,住,,,1070601,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0960827,151.31,3,2,2,有,有,13000000,85916,坡道機械,19.35,0,,RPUPMLSKPHNFFAB88CA
南區,房地(土地+建物)+車位,臺中市南區福田二街1~30號,21.44,住,,,1070501,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051212,167.72,3,2,2,有,無,10330000,67967,坡道平面,33.4,1200000,,RPPRMLQLPHNFFAB48CA
